@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Bajo","Alto","Bajo","Otros","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Alto","Derrota"
"Alto","Alto","Alto","CONMEBOL","Alto","Derrota"
"Alto","Alto","Alto","UEFA","Alto","Empate"
"Alto","Bajo","Alto","UEFA","Alto","Empate"
"Alto","Bajo","Alto","UEFA","Medio","Empate"
"Bajo","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Alto","Victoria"
"Medio","Bajo","Bajo","UEFA","Bajo","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Victoria"
"Alto","Bajo","Bajo","Otros","Alto","Victoria"
"Medio","Bajo","Bajo","Otros","Medio","Victoria"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Empate"
"Medio","Alto","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Empate"
"Bajo","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Alto","UEFA","Medio","Victoria"
"Alto","Bajo","Alto","UEFA","Medio","Empate"
