@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Alto","Alto","Alto","UEFA","Medio","Derrota"
"Alto","Bajo","Bajo","CONMEBOL","Alto","Derrota"
"Alto","Bajo","Alto","UEFA","Medio","Derrota"
"Medio","Bajo","Bajo","UEFA","Medio","Derrota"
"Bajo","Bajo","Bajo","Otros","Medio","Derrota"
"Alto","Alto","Alto","UEFA","Alto","Derrota"
"Medio","Bajo","Bajo","UEFA","Medio","Empate"
"Bajo","Bajo","Bajo","Otros","Medio","Derrota"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Derrota"
"Bajo","Bajo","Bajo","Otros","Medio","Empate"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Derrota"
"Alto","Alto","Bajo","UEFA","Alto","Derrota"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Medio","Alto","Bajo","Otros","Alto","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Derrota"
"Medio","Alto","Bajo","Otros","Medio","Derrota"
"Bajo","Bajo","Bajo","Otros","Bajo","Derrota"
"Bajo","Bajo","Bajo","Otros","Medio","Derrota"
