@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Alto","Bajo","Bajo","Otros","Medio","Victoria"
"Alto","Alto","Alto","CONMEBOL","Alto","Derrota"
"Alto","Bajo","Bajo","Otros","Medio","Victoria"
"Alto","Bajo","Bajo","CONMEBOL","Alto","Derrota"
"Medio","Bajo","Bajo","UEFA","Medio","Empate"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Medio","Empate"
"Medio","Bajo","Bajo","UEFA","Medio","Derrota"
"Bajo","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Derrota"
"Alto","Bajo","Bajo","Otros","Alto","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Derrota"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Derrota"
"Alto","Bajo","Bajo","CONMEBOL","Alto","Derrota"
"Alto","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Bajo","Bajo","Bajo","UEFA","Medio","Victoria"
