@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Alto","Bajo","Bajo","Otros","Medio","Victoria"
"Alto","Alto","Bajo","UEFA","Medio","Empate"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Empate"
"Medio","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Alto","Bajo","Otros","Medio","Derrota"
"Alto","Alto","Bajo","UEFA","Medio","Derrota"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Empate"
"Medio","Bajo","Bajo","UEFA","Medio","Empate"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Alto","Bajo","UEFA","Alto","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Alto","Alto","Alto","UEFA","Alto","Empate"
"Medio","Bajo","Bajo","UEFA","Bajo","Empate"
"Medio","Bajo","Bajo","UEFA","Medio","Empate"
"Bajo","Bajo","Bajo","UEFA","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Derrota"
"Alto","Alto","Bajo","UEFA","Medio","Derrota"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
