@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Alto","Alto","Bajo","Otros","Medio","Empate"
"Alto","Bajo","Alto","UEFA","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Derrota"
"Alto","Alto","Alto","UEFA","Alto","Empate"
"Alto","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Empate"
"Alto","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Alto","UEFA","Medio","Victoria"
"Alto","Alto","Bajo","UEFA","Medio","Derrota"
"Medio","Bajo","Bajo","CONMEBOL","Bajo","Victoria"
"Alto","Alto","Alto","UEFA","Medio","Derrota"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Empate"
"Alto","Alto","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
