@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Bajo","Bajo","Bajo","UEFA","Bajo","Derrota"
"Medio","Bajo","Bajo","UEFA","Medio","Derrota"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Alto","Bajo","Bajo","Otros","Medio","Derrota"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Medio","Bajo","Bajo","CONMEBOL","Medio","Victoria"
"Medio","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Medio","Empate"
"Bajo","Bajo","Bajo","Otros","Bajo","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Empate"
"Medio","Bajo","Bajo","Otros","Medio","Empate"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Bajo","Derrota"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","Otros","Bajo","Derrota"
"Bajo","Bajo","Bajo","Otros","Medio","Empate"
"Bajo","Alto","Bajo","Otros","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Alto","Derrota"
