@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Alto","Bajo","Bajo","UEFA","Medio","Derrota"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Empate"
"Alto","Bajo","Bajo","UEFA","Medio","Derrota"
"Alto","Bajo","Bajo","UEFA","Alto","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Alto","Bajo","UEFA","Alto","Victoria"
"Alto","Alto","Alto","UEFA","Alto","Empate"
"Medio","Bajo","Bajo","Otros","Medio","Derrota"
"Bajo","Bajo","Bajo","Otros","Bajo","Victoria"
"Alto","Bajo","Bajo","Otros","Medio","Empate"
"Medio","Bajo","Bajo","Otros","Medio","Victoria"
"Medio","Bajo","Bajo","Otros","Medio","Derrota"
"Medio","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Medio","Bajo","Bajo","Otros","Medio","Empate"
"Bajo","Bajo","Bajo","Otros","Bajo","Victoria"
"Alto","Alto","Bajo","UEFA","Alto","Derrota"
"Medio","Bajo","Bajo","CONMEBOL","Bajo","Victoria"
"Alto","Alto","Alto","UEFA","Alto","Derrota"
