@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Medio","Bajo","Bajo","UEFA","Medio","Derrota"
"Alto","Bajo","Bajo","UEFA","Medio","Empate"
"Medio","Bajo","Bajo","Otros","Bajo","Victoria"
"Alto","Bajo","Bajo","UEFA","Alto","Derrota"
"Alto","Bajo","Bajo","UEFA","Medio","Derrota"
"Alto","Bajo","Bajo","UEFA","Medio","Empate"
"Medio","Bajo","Bajo","Otros","Medio","Derrota"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Alto","Bajo","Bajo","Otros","Medio","Victoria"
"Alto","Alto","Bajo","Otros","Alto","Derrota"
"Medio","Bajo","Bajo","Otros","Bajo","Victoria"
"Medio","Bajo","Bajo","Otros","Medio","Derrota"
"Alto","Bajo","Bajo","Otros","Medio","Derrota"
"Bajo","Bajo","Bajo","Otros","Bajo","Victoria"
"Bajo","Alto","Bajo","Otros","Medio","Victoria"
"Alto","Alto","Bajo","Otros","Medio","Empate"
"Medio","Bajo","Bajo","Otros","Medio","Empate"
"Alto","Bajo","Bajo","Otros","Medio","Empate"
"Alto","Alto","Bajo","Otros","Medio","Empate"
"Medio","Bajo","Bajo","Otros","Bajo","Derrota"
