@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Alto","Alto","Bajo","UEFA","Medio","Empate"
"Bajo","Alto","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Alto","Bajo","Otros","Bajo","Victoria"
"Bajo","Alto","Bajo","Otros","Bajo","Empate"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Empate"
"Alto","Bajo","Alto","CONMEBOL","Medio","Empate"
"Medio","Bajo","Bajo","CONMEBOL","Medio","Victoria"
"Medio","Bajo","Bajo","CONMEBOL","Medio","Victoria"
"Medio","Bajo","Bajo","Otros","Medio","Victoria"
"Medio","Bajo","Bajo","CONMEBOL","Bajo","Victoria"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Derrota"
"Medio","Bajo","Bajo","CONMEBOL","Medio","Empate"
"Alto","Alto","Alto","CONMEBOL","Alto","Derrota"
"Medio","Bajo","Bajo","CONMEBOL","Bajo","Derrota"
"Alto","Bajo","Bajo","UEFA","Medio","Derrota"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Derrota"
"Alto","Bajo","Alto","CONMEBOL","Alto","Empate"
"Medio","Bajo","Bajo","CONMEBOL","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Derrota"
