@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Empate"
"Medio","Bajo","Bajo","Otros","Medio","Victoria"
"Medio","Bajo","Bajo","Otros","Alto","Derrota"
"Alto","Bajo","Bajo","Otros","Medio","Derrota"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Empate"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Derrota"
"Medio","Bajo","Bajo","UEFA","Bajo","Victoria"
"Medio","Bajo","Bajo","UEFA","Bajo","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Empate"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Medio","Empate"
"Alto","Alto","Bajo","UEFA","Medio","Derrota"
"Alto","Bajo","Bajo","UEFA","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
