@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Medio","Bajo","Bajo","Otros","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Derrota"
"Bajo","Bajo","Bajo","UEFA","Bajo","Empate"
"Medio","Bajo","Bajo","UEFA","Medio","Empate"
"Bajo","Bajo","Bajo","Otros","Medio","Empate"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Medio","Bajo","Bajo","Otros","Medio","Empate"
"Medio","Bajo","Bajo","Otros","Medio","Empate"
"Bajo","Bajo","Bajo","Otros","Medio","Derrota"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","Otros","Medio","Empate"
"Bajo","Bajo","Bajo","Otros","Bajo","Victoria"
"Bajo","Bajo","Bajo","Otros","Bajo","Empate"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Medio","Bajo","Bajo","Otros","Medio","Empate"
"Medio","Bajo","Bajo","Otros","Medio","Derrota"
"Bajo","Bajo","Bajo","Otros","Medio","Empate"
