@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Medio","Bajo","Bajo","CONMEBOL","Medio","Victoria"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Derrota"
"Medio","Bajo","Bajo","Otros","Alto","Victoria"
"Medio","Bajo","Bajo","Otros","Alto","Derrota"
"Medio","Bajo","Bajo","Otros","Medio","Empate"
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Derrota"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Empate"
"Bajo","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Alto","Bajo","Otros","Medio","Empate"
"Medio","Bajo","Bajo","UEFA","Medio","Derrota"
"Alto","Bajo","Bajo","UEFA","Medio","Empate"
"Alto","Bajo","Bajo","UEFA","Medio","Victoria"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Empate"
"Bajo","Bajo","Bajo","UEFA","Medio","Empate"
"Bajo","Bajo","Bajo","UEFA","Bajo","Victoria"
