@relation 'data'
@attribute 'PuntosFIFA' {'Bajo','Medio','Alto'}
@attribute 'MediaGoles' {'Bajo','Alto'}
@attribute 'ValorERival' {'Bajo','Alto'}
@attribute 'Entidad' {'UEFA','CONMEBOL','Otros'}
@attribute 'ValorExperto' {'Bajo','Medio','Alto'}
@attribute 'Resultado' {'Derrota','Empate','Victoria'}
@data
"Bajo","Bajo","Bajo","Otros","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Victoria"
"Medio","Bajo","Bajo","UEFA","Medio","Victoria"
"Alto","Bajo","Bajo","UEFA","Medio","Derrota"
"Alto","Alto","Bajo","UEFA","Alto","Empate"
"Medio","Bajo","Bajo","CONMEBOL","Medio","Victoria"
"Medio","Bajo","Bajo","CONMEBOL","Bajo","Empate"
"Medio","Bajo","Bajo","CONMEBOL","Bajo","Victoria"
"Alto","Bajo","Alto","CONMEBOL","Medio","Empate"
"Alto","Bajo","Alto","UEFA","Medio","Derrota"
"Medio","Bajo","Bajo","UEFA","Medio","Derrota"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Derrota"
"Alto","Alto","Alto","CONMEBOL","Alto","Derrota"
"Alto","Bajo","Bajo","CONMEBOL","Alto","Derrota"
"Medio","Bajo","Bajo","CONMEBOL","Bajo","Victoria"
"Alto","Bajo","Bajo","CONMEBOL","Medio","Empate"
"Medio","Bajo","Bajo","CONMEBOL","Medio","Victoria"
"Medio","Bajo","Bajo","CONMEBOL","Bajo","Victoria"
"Alto","Bajo","Alto","CONMEBOL","Alto","Derrota"
"Medio","Bajo","Bajo","Otros","Bajo","Victoria"
